FIPS Code,Locality,"April 1, 2010 Census","July 1, 2019 Estimate",Numeric Change,Percent Change,,,
,10 Thomas Jefferson,234712,257452,22740,0.096884693,,,
,11 Region 2000,252634,262428,9794,0.038767545,,,
,12 West Piedmont,249182,238280,-10902,-0.043751154,,,
,13 Southside,86402,81538,-4864,-0.056294993,,,
,14 Commonwealth Regional Council,104609,102529,-2080,-0.019883566,,,
,15 Richmond Regional,1002696,1097949,95253,0.094996888,,,
,16 George Washington Regional Commission,327773,372270,44497,0.135755538,,,
,17 Northern Neck,50429,49897,-532,-0.010549485,,,
,18 Middle Peninsula,90826,91247,421,0.004635237,,,
,19 Crater,496955,530142,33187,0.066780694,,,
,22 Accomack-Northampton,45553,44371,-1182,-0.025947797,,,
,23 Hampton Roads,1666310,1729109,62799,0.037687465,,,
